Samples,,,,,,,Raw Abundance,,,,,,Rel Abund,,,,,,,
,Oahu,Washington,Massachusetts,Total,,,,Oahu,Massachusetts,Washington,Total,,,Oahu,Massachusetts,Washington,,,,
A,5928,364,312,6604,,,A,239554,6,31,239591,,A,239554,6,31,,,,
D,3648,224,192,4064,,,D,34312,0,0,34312,,D,34312,0,0,,,,
G,798,49,42,889,,,G,1,0,24567,24568,,G,1,0,24567,,,,
I,2622,161,138,2921,,,I,154,26,158,338,,I,154,26,158,,,,
J,18582,1141,978,20701,,,J,1529389,94339,38911,1662639,,J,1529389,94339,38911,,,,
K,114,7,6,127,,,K,22,0,0,22,,K,22,0,0,,,,
L,114,7,6,127,,,L,0,44,0,44,,L,0,44,0,,,,
Total,31806,1953,1674,35433,,,Total,1803432,94415,63667,1961514,,,,,,1961514,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Relative Abundance,,,,,,,Oahu,Massachusetts,Washington,,,,
,,,,,,,,Oahu,Massachusetts,Washington,,,A,0.122127092,3.05886E-06,1.58041E-05,,,,
Clade,State,Raw_Reads,Rel_Abundance,,,,A,0.132832289,6.35492E-05,0.000486908,,,D,0.01749261,0,0,,,,
A,Oahu,239554,0.122127092,1961514,,,D,0.019025946,0,0,,,G,5.0981E-07,0,0.012524509,,,,
A,Massachusetts,6,3.05886E-06,1961514,,,G,5.54498E-07,0,0.38586709,,,I,7.85108E-05,1.32551E-05,8.055E-05,,,,
A,Washington,31,1.58041E-05,1961514,,,I,8.53927E-05,0.00027538,0.002481662,,,J,0.779698233,0.048094992,0.019837228,,,,
D,Oahu,34312,0.01749261,1961514,,,J,0.848043619,0.999195043,0.611164339,,,K,1.12158E-05,0,0,,,,
D,Massachusetts,0,0,1961514,,,K,1.2199E-05,0,0,,,L,0,2.24317E-05,0,,,,
D,Washington,0,0,1961514,,,L,0,0.000466028,0,,,,,,,1,,,
G,Oahu,1,5.0981E-07,1961514,,,Total,1,1,1,,,,,,,,,,
G,Massachusetts,0,0,1961514,,,,,,,,,,,,,,,,
G,Washington,24567,0.012524509,1961514,,,,,,,,,,,,,,,,
I,Oahu,154,7.85108E-05,1961514,,,,Oahu,Massachusetts,Washington,Total,,,,,,,,,
I,Massachusetts,26,1.32551E-05,1961514,,,A,0.99984557,2.50427E-05,0.000129387,1,,,,,,,,,
I,Washington,158,8.055E-05,1961514,,,D,1,0,0,1,,,,Animal ,Plant,Sediment,Rock Swab,Water,
J,Oahu,1529389,0.779698233,1961514,,,G,4.07034E-05,0,0.999959297,1,,,A,26205,194247,0,52,19087,
J,Massachusetts,94339,0.048094992,1961514,,,I,0.455621302,0.076923077,0.467455621,1,,,D,15575,18735,0,0,2,
J,Washington,38911,0.019837228,1961514,,,J,0.919856325,0.056740519,0.023403156,1,,,G,24567,1,0,0,0,
K,Oahu,22,1.12158E-05,1961514,,,K,1,0,0,1,,,I,167,29,0,94,48,
K,Massachusetts,0,0,1961514,,,L,0,1,0,1,,,J,154291,205662,449,1206494,95743,
K,Washington,0,0,1961514,,,,,,,,,,K,0,22,0,0,0,
L,Oahu,0,0,1961514,,,,,,,,,,L,0,44,0,0,0,
L,Massachusetts,44,2.24317E-05,1961514,,,,Animal ,Plant,Sediment,Rock Swab,Water,,,,,,,,1961514
L,Washington,0,0,1961514,,,A,0.013359578,0.099029117,0,2.65101E-05,0.009730749,,,,,,,,
,,,,,,,D,0.007940295,0.009551296,0,0,1.01962E-06,,,,,,,,
,,,,,,,G,0.012524509,5.0981E-07,0,0,0,,,,,,,,
,,,,,,,I,8.51383E-05,1.47845E-05,0,4.79222E-05,2.44709E-05,,,,,,,,
,,,,,,,J,0.078659138,0.104848602,0.000228905,0.615083043,0.048810766,,,,,,,,
,,,,,,,K,0,1.12158E-05,0,0,0,,,,,,,,
,,,,,,,L,0,2.24317E-05,0,0,0,,,,,,,,