Clade,State,Raw_Reads,Rel_Abundance
A,Oahu,239554,0.122127092
A,Massachusetts,6,3.05886E-06
A,Washington,31,1.58041E-05
D,Oahu,34312,0.01749261
D,Massachusetts,0,0
D,Washington,0,0
G,Oahu,1,5.0981E-07
G,Massachusetts,0,0
G,Washington,24567,0.012524509
I,Oahu,154,7.85108E-05
I,Massachusetts,26,1.32551E-05
I,Washington,158,8.055E-05
J,Oahu,1529389,0.779698233
J,Massachusetts,94339,0.048094992
J,Washington,38911,0.019837228
K,Oahu,22,1.12158E-05
K,Massachusetts,0,0
K,Washington,0,0
L,Oahu,0,0
L,Massachusetts,44,2.24317E-05
L,Washington,0,0