Clade,Level3,Relative_Rep
A,Animal_corpus,0.109373891
A,Plant_corpus,0.810744143
A,Sediment,0
A,Rock_swab,0.000217037
A,Water,0.079664929
D,Animal_corpus,0.453922826
D,Plant_corpus,0.546018886
D,Sediment,0
D,Rock_swab,0
D,Water,5.83E-05
G,Animal_corpus,0.999959297
G,Plant_corpus,4.07E-05
G,Sediment,0
G,Rock_swab,0
G,Water,0
I,Animal_corpus,0.49408284
I,Plant_corpus,0.085798817
I,Sediment,0
I,Rock_swab,0.278106509
I,Water,0.142011834
J,Animal_corpus,0.092798858
J,Plant_corpus,0.123696124
J,Sediment,0.000270053
J,Rock_swab,0.725650006
J,Water,0.05758496
K,Animal_corpus,0
K,Plant_corpus,1
K,Sediment,0
K,Rock_swab,0
K,Water,0
L,Animal_corpus,0
L,Plant_corpus,1
L,Sediment,0
L,Rock_swab,0
L,Water,0